serial_no,round_no,period,city,age,gender,occupation_of_respondent,annual_income,no_of_family_members,education_qualification,number_of_earning_members,perception_on_general_economic_condition_u_fffd_compared_to_one_year_ago,outlook_on_general_economic_condition_u_fffd_one_year_ahead,perception_on_household_circumstances_u_fffd_compared_to_one_year_ago,outlook_on_household_circumstances_u_fffd_one_year_ahead,perception_on_household_income_u_fffd_compared_to_one_year_ago,outlook_on_household_income_u_fffd_one_year_ahead,perception_on_household_spending_u_fffd_compared_to_one_year_ago,outlook_on_household_spending_u_fffd_one_year_ahead,perception_on_employment_scenario_u_fffd_compared_to_one_year_ago,outlook_on_employment_scenario_u_fffd_one_year_ahead,perception_on_general_price_levels_u_fffd_compared_to_one_year_ago,outlook_on_general_price_levels_u_fffd_one_year_ahead,perception_on_inflation_u_fffd_compared_to_one_year_ago,outlook_on_inflation_u_fffd_one_year_ahead
5151,22,DEC-14,Delhi,40-59,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Less than current year
5152,22,DEC-14,Delhi,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Difficult to say,Will be better off,Increased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
5153,22,DEC-14,Delhi,30-39,Female,House wife,Rs. 5 lakhs or more,3 or 4,Graduate & above,1,Worsen,Will Remain the Same,Somewhat worse off,Will be better off,Remained the same,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go down,More than last year,NA
5154,22,DEC-14,Delhi,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,Same as last year,More than current year
5155,22,DEC-14,Delhi,30-39,Female,House wife,Rs. 3 - 5 lakhs,3 or 4,Graduate & above,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Remain the same,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone down,Will go up,NA,More than current year
5156,22,DEC-14,Delhi,40-59,Female,House wife,Rs. 3 - 5 lakhs,1 or 2,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Increase,Improved,Will improve,Remained almost unchanged,Will go up,NA,Less than current year
5157,22,DEC-14,Delhi,60 & above,Female,House wife,Rs. 1 lakh or less,1 or 2,Up to primary,1,Worsen,Will Remain the Same,Somewhat better off,Will be better off,Decreased,Increase,Increased,Increase,Remained the same,Will worsen,Gone up,Will go up,More than last year,Same as current year
5158,22,DEC-14,Delhi,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Neither increase nor decrease,Worsen,Will Remain the Same,Gone up,Will remain almost unchanged,Less than last year,NA
5159,22,DEC-14,Delhi,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Remained the same,Increase,Improved,Will Remain the Same,Gone up,Will go up,Same as last year,Same as current year
5160,22,DEC-14,Delhi,30-39,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Improved,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will remain almost unchanged,Less than last year,NA
5161,22,DEC-14,Delhi,22-29,Female,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Worsen,Will Remain the Same,Somewhat worse off,Will be better off,Remained the same,Remain the same,Decreased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5162,22,DEC-14,Delhi,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Below Graduate,3,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone down,Will remain almost unchanged,NA,NA
5163,22,DEC-14,Delhi,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Improve,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5164,22,DEC-14,Delhi,40-59,Female,Self employed/Business,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Decreased,Remain the same,Remained the same,Decrease,Improved,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
5165,22,DEC-14,Delhi,30-39,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Decreased,Decrease,Remained the same,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5166,22,DEC-14,Delhi,60 & above,Female,House wife,Rs. 1 lakh or less,1 or 2,Up to primary,1,Worsen,Will Remain the Same,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
5167,22,DEC-14,Delhi,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Decrease,Increased,Neither increase nor decrease,Remained the same,Will worsen,Gone up,Will remain almost unchanged,More than last year,NA
5168,22,DEC-14,Delhi,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Worsen,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
5169,22,DEC-14,Delhi,40-59,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
5170,22,DEC-14,Delhi,40-59,Male,Self employed/Business,Rs. 3 - 5 lakhs,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Remained almost unchanged,Will remain almost unchanged,NA,NA
5171,22,DEC-14,Delhi,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Remained the same,Will Improve,Somewhat better off,Will Remain the Same,Remained the same,Increase,Increased,Decrease,Remained the same,Will improve,Remained almost unchanged,Will go down,NA,NA
5172,22,DEC-14,Delhi,40-59,Female,House wife,Rs. 3 - 5 lakhs,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will improve,Remained almost unchanged,Will go down,NA,NA
5173,22,DEC-14,Delhi,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Below Graduate,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Decrease,Remained the same,Will improve,Remained almost unchanged,Will go down,NA,NA
5174,22,DEC-14,Delhi,30-39,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Remained the same,Decrease,Remained the same,Will Remain the Same,Gone up,Will remain almost unchanged,Same as last year,NA
5175,22,DEC-14,Delhi,40-59,Male,Employed,Rs. 5 lakhs or more,5 and more,Graduate & above,2,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will improve,Remained almost unchanged,Will go down,NA,NA
5176,22,DEC-14,Delhi,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Increase,Remained the same,Decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
5177,22,DEC-14,Delhi,40-59,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Remained the same,Decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,Same as last year,NA
5178,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Improved,Will Improve,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5179,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,3,Improved,Will Improve,Somewhat worse off,Will be worsen,Remained the same,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,Same as current year
5180,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Graduate & above,1,Worsen,Will Remain the Same,Difficult to say,Will be better off,Decreased,Increase,Increased,Neither increase nor decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5181,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Worsen,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5182,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Decreased,Increase,Increased,Increase,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5183,22,DEC-14,Bengaluru,60 & above,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Worsen,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
5184,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5185,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat worse off,Will be worsen,Increased,Remain the same,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5186,22,DEC-14,Bengaluru,30-39,Female,Daily Worker,Rs. 1 lakh or less,5 and more,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Decrease,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5187,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go down,More than last year,NA
5188,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Remained the same,Will Improve,Somewhat worse off,Will be worsen,Increased,Increase,Increased,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5189,22,DEC-14,Bengaluru,40-59,Female,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Increase,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5190,22,DEC-14,Bengaluru,40-59,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Remain the Same,Difficult to say,Will be better off,Increased,Remain the same,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go down,More than last year,NA
5191,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Improve,Somewhat worse off,Will be worsen,Decreased,Increase,Increased,Increase,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5192,22,DEC-14,Bengaluru,22-29,Male,Unemployed,Rs. 1 lakh or less,5 and more,Graduate & above,3,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5193,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5194,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Somewhat worse off,Will be better off,Remained the same,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5195,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,1 or 2,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Increased,Decrease,Increased,Decrease,Remained the same,Will improve,Gone up,Will go down,More than last year,NA
5196,22,DEC-14,Bengaluru,60 & above,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,3,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5197,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Improve,Somewhat worse off,Will be better off,Remained the same,Remain the same,Increased,Increase,Worsen,Will Remain the Same,Gone up,Will go down,More than last year,NA
5198,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5199,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Worsen,Somewhat worse off,Will be better off,Increased,Increase,Increased,Decrease,Worsen,Will worsen,Gone up,Will remain almost unchanged,More than last year,NA
5200,22,DEC-14,Bengaluru,22-29,Male,Daily Worker,Rs. 1 lakh or less,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Increased,Remain the same,Increased,Increase,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5201,22,DEC-14,Bengaluru,40-59,Female,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,2,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Decrease,Worsen,Will worsen,Gone up,Will go down,Less than last year,NA
5202,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Worsen,Difficult to say,Will be better off,Decreased,Remain the same,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5203,22,DEC-14,Bengaluru,30-39,Female,Employed,Rs. 1 lakh or less,3 or 4,Below Graduate,2,Improved,Will Improve,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Increased,Increase,Improved,Will improve,Gone up,Will go up,More than last year,Same as current year
5204,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Improved,Will improve,Gone up,Will go up,Less than last year,Same as current year
5205,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Increased,Increase,Remained the same,Decrease,Improved,Will improve,Remained almost unchanged,Will go down,NA,NA
5206,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5207,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Remain the same,Remained the same,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5208,22,DEC-14,Bengaluru,60 & above,Female,House wife,Rs. 1 lakh or less,5 and more,Graduate & above,2,Worsen,Will Improve,Somewhat better off,Will be better off,Increased,Remain the same,Remained the same,Neither increase nor decrease,Improved,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
5209,22,DEC-14,Bengaluru,22-29,Male,Employed,Rs. 1 - 3 lakhs,3 or 4,Up to primary,2,Improved,Will Remain the Same,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5210,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,1,Worsen,Will Worsen,Difficult to say,Will be better off,Decreased,Decrease,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5211,22,DEC-14,Bengaluru,60 & above,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Improve,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Decrease,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5212,22,DEC-14,Bengaluru,30-39,Female,Employed,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5213,22,DEC-14,Bengaluru,30-39,Male,Self employed/Business,Rs. 1 lakh or less,5 and more,Up to primary,2,Worsen,Will Worsen,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5214,22,DEC-14,Bengaluru,22-29,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Remain the Same,Somewhat worse off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Remained the same,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
5215,22,DEC-14,Bengaluru,22-29,Male,Employed,Rs. 1 - 3 lakhs,5 and more,Up to primary,3,Improved,Will Worsen,Somewhat worse off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5216,22,DEC-14,Bengaluru,22-29,Male,Self employed/Business,Rs. 1 - 3 lakhs,5 and more,Graduate & above,6,Improved,Will Improve,Somewhat better off,Will Remain the Same,Increased,Increase,Increased,Neither increase nor decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5217,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Decreased,Remain the same,Increased,Decrease,Improved,Will improve,Gone up,Will go down,More than last year,NA
5218,22,DEC-14,Bengaluru,60 & above,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Remained the same,Will Improve,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,Same as current year
5219,22,DEC-14,Bengaluru,60 & above,Male,Unemployed,Rs. 1 lakh or less,5 and more,Up to primary,2,Improved,Will Improve,Difficult to say,Will be better off,Decreased,Remain the same,Remained the same,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,Same as last year,More than current year
5220,22,DEC-14,Bengaluru,30-39,Female,Daily Worker,Rs. 1 lakh or less,1 or 2,Up to primary,2,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Increase,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,Less than current year
5221,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Worsen,Will Worsen,Somewhat worse off,Will be worsen,Remained the same,Remain the same,Remained the same,Increase,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5222,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,2,Improved,Will Remain the Same,Difficult to say,Will Remain the Same,Increased,Remain the same,Increased,Decrease,Improved,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5223,22,DEC-14,Bengaluru,22-29,Male,Unemployed,Rs. 1 lakh or less,3 or 4,Graduate & above,1,Improved,Will Improve,Somewhat worse off,Will be better off,Decreased,Remain the same,Increased,Neither increase nor decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5224,22,DEC-14,Bengaluru,40-59,Female,Employed,Rs. 1 lakh or less,3 or 4,Graduate & above,2,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5225,22,DEC-14,Bengaluru,30-39,Male,Daily Worker,Rs. 1 lakh or less,1 or 2,Up to primary,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Remained the same,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5226,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Difficult to say,Will be better off,Decreased,Decrease,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5227,22,DEC-14,Bengaluru,22-29,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Worsen,Will Worsen,Difficult to say,Will Remain the Same,Increased,Increase,Increased,Decrease,Remained the same,Will worsen,Gone up,Will go up,More than last year,More than current year
5228,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,1 or 2,Below Graduate,1,Improved,Will Remain the Same,Somewhat better off,Will be better off,Remained the same,Increase,Remained the same,Decrease,Improved,Will worsen,Gone up,Will go up,More than last year,More than current year
5229,22,DEC-14,Bengaluru,40-59,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,3,Worsen,Will Remain the Same,Somewhat better off,Will be better off,Increased,Increase,Increased,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5230,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5231,22,DEC-14,Bengaluru,30-39,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Worsen,Will Worsen,Difficult to say,Will be worsen,Remained the same,Remain the same,Increased,Neither increase nor decrease,Improved,Will Remain the Same,Gone up,Will remain almost unchanged,More than last year,NA
5232,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Below Graduate,1,Worsen,Will Improve,Difficult to say,Will be better off,Remained the same,Increase,Increased,Decrease,Remained the same,Will improve,Gone up,Will go up,More than last year,More than current year
5233,22,DEC-14,Bengaluru,60 & above,Male,Retired/Pensioner,Rs. 1 lakh or less,1 or 2,Up to primary,1,Worsen,Will Worsen,Somewhat worse off,Will Remain the Same,Decreased,Remain the same,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5234,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Improve,Somewhat worse off,Will be better off,Decreased,Decrease,Increased,Decrease,Worsen,Will improve,Gone up,Will go down,More than last year,NA
5235,22,DEC-14,Bengaluru,40-59,Male,Self employed/Business,Rs. 1 lakh or less,3 or 4,Up to primary,2,Worsen,Will Remain the Same,Difficult to say,Will Remain the Same,Decreased,Remain the same,Increased,Decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5236,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Remained the same,Will Remain the Same,Somewhat worse off,Will be better off,Remained the same,Remain the same,Remained the same,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5237,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5238,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Up to primary,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will remain almost unchanged,More than last year,NA
5239,22,DEC-14,Bengaluru,22-29,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Worsen,Difficult to say,Will be worsen,Decreased,Remain the same,Increased,Decrease,Worsen,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5240,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,1 or 2,Up to primary,1,Worsen,Will Remain the Same,Difficult to say,Will be better off,Decreased,Decrease,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5241,22,DEC-14,Bengaluru,22-29,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,2,Worsen,Will Worsen,Difficult to say,Will Remain the Same,Decreased,Remain the same,Increased,Decrease,Improved,Will Remain the Same,Gone up,Will go down,More than last year,NA
5242,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 - 3 lakhs,5 and more,Below Graduate,1,Remained the same,Will Improve,Somewhat better off,Will be better off,Remained the same,Increase,Increased,Decrease,Worsen,Will improve,Gone up,Will go up,More than last year,More than current year
5243,22,DEC-14,Bengaluru,30-39,Female,House wife,Rs. 1 lakh or less,5 and more,Below Graduate,1,Worsen,Will Worsen,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5244,22,DEC-14,Bengaluru,40-59,Female,House wife,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will be better off,Remained the same,Remain the same,Increased,Decrease,Worsen,Will worsen,Gone up,Will go up,More than last year,More than current year
5245,22,DEC-14,Bengaluru,22-29,Female,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Worsen,Will Remain the Same,Somewhat better off,Will be better off,Increased,Increase,Increased,Decrease,Remained the same,Will Remain the Same,Gone up,Will go up,More than last year,More than current year
5246,22,DEC-14,Bengaluru,30-39,Male,Daily Worker,Rs. 1 lakh or less,3 or 4,Up to primary,1,Improved,Will Improve,Somewhat better off,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Improved,Will improve,Gone up,Will go up,More than last year,More than current year
5247,22,DEC-14,Bengaluru,22-29,Female,House wife,Rs. 1 - 3 lakhs,3 or 4,Below Graduate,1,Remained the same,Will Remain the Same,Difficult to say,Will Remain the Same,Remained the same,Remain the same,Remained the same,Neither increase nor decrease,Remained the same,Will Remain the Same,Remained almost unchanged,Will remain almost unchanged,NA,NA
